(getValue,GetValue)
(getUnit,GetUnit)
(setValue,SetValue)
(setUnit,SetUnit)
(getLength,GetLength)
(getKey,GetKey)
(setKey,SetKey)
(getSeparator,GetSeparator)
(setSeparator,SetSeparator)
(Number,Number)
(String,String)
(Color,Color)
(Boolean,Boolean)
(List,List)
(Map,Map)
(Null,Null)
(Error,Error)
(success,ReturnCallback)
(css,css)
(render,render)
(renderSync,render_sync)
(renderFile,render_file)
(renderFileSync,render_file_sync)
(libsassVersion,libsass_version)
(getR,GetR)
(getG,GetG)
(getB,GetB)
(getA,GetA)
(setR,SetR)
(setG,SetG)
(setB,SetB)
(setA,SetA)
