(success,ReturnCallback)
(getValue,GetValue)
(setValue,SetValue)
(getLength,GetLength)
(getSeparator,GetSeparator)
(setSeparator,SetSeparator)
(getR,GetR)
(getG,GetG)
(getB,GetB)
(getA,GetA)
(setR,SetR)
(setG,SetG)
(setB,SetB)
(setA,SetA)
(getKey,GetKey)
(setKey,SetKey)
(getUnit,GetUnit)
(setUnit,SetUnit)
(Number,Number)
(String,String)
(Color,Color)
(Boolean,Boolean)
(List,List)
(Map,Map)
(Null,Null)
(Error,Error)
(css,css)
(render,render)
(renderSync,render_sync)
(renderFile,render_file)
(renderFileSync,render_file_sync)
(libsassVersion,libsass_version)
