(getValue,GetValue)
(getUnit,GetUnit)
(setValue,SetValue)
(setUnit,SetUnit)
(getLength,GetLength)
(getSeparator,GetSeparator)
(setSeparator,SetSeparator)
(getR,GetR)
(getG,GetG)
(getB,GetB)
(getA,GetA)
(setR,SetR)
(setG,SetG)
(setB,SetB)
(setA,SetA)
(render,render)
(renderSync,render_sync)
(renderFile,render_file)
(renderFileSync,render_file_sync)
(libsassVersion,libsass_version)
(Number,Number)
(String,String)
(Color,Color)
(Boolean,Boolean)
(List,List)
(Map,Map)
(Null,Null)
(Error,Error)
(getKey,GetKey)
(setKey,SetKey)
(success,ReturnCallback)
(start,FSEvents)
(stop,FSEvents)
