(getR,GetR)
(getG,GetG)
(getB,GetB)
(getA,GetA)
(setR,SetR)
(setG,SetG)
(setB,SetB)
(setA,SetA)
(getValue,GetValue)
(getLength,GetLength)
(getKey,GetKey)
(setKey,SetKey)
(setValue,SetValue)
(success,ReturnCallback)
(render,render)
(renderSync,render_sync)
(renderFile,render_file)
(renderFileSync,render_file_sync)
(libsassVersion,libsass_version)
(Number,Number)
(String,String)
(Color,Color)
(Boolean,Boolean)
(List,List)
(Map,Map)
(Null,Null)
(Error,Error)
(getUnit,GetUnit)
(setUnit,SetUnit)
(getSeparator,GetSeparator)
(setSeparator,SetSeparator)
