(dragMouse,dragMouse)
(updateScreenMetrics,updateScreenMetrics)
(moveMouse,moveMouse)
(moveMouseSmooth,moveMouseSmooth)
(getMousePos,getMousePos)
(mouseClick,mouseClick)
(mouseToggle,mouseToggle)
(scrollMouse,scrollMouse)
(setMouseDelay,setMouseDelay)
(keyTap,keyTap)
(keyToggle,keyToggle)
(typeString,typeString)
(typeStringDelayed,typeStringDelayed)
(setKeyboardDelay,setKeyboardDelay)
(getPixelColor,getPixelColor)
(getScreenSize,getScreenSize)
(captureScreen,captureScreen)
(getXDisplayName,getXDisplayName)
(setXDisplayName,setXDisplayName)
